concept_id,topic_id,module_id,concept,paper_question_count,subquestion_count,question_assignment_count,year_count,recent_year_count,exam_years,recent_years,subjective_count,comprehensive_count,total_score,weighted_score,weighted_paper_count,weighted_subquestion_count,weighted_year_count,weighted_recent_year_count,core_score,priority_rank,importance_level,trend,evidence_mix,question_ids
a04,air-control,air,烟气脱硫与除尘,6,0,6,4,2,"2013,2014,2022,2024","2022,2024",5,0,18,16.0,5.35,0,3.35,2.0,30.035,11,high,周期性,question_confirmed=4; topic_confirmed=1; answer_confirmed=1,"2013-SA-03,2014-N-05,2022-SA-05,2024-J-02,2024-J-05,2024-S-09"
f03,foundation-capacity,foundation,环境污染判定,5,0,5,4,2,"2012,2019,2023,2024","2023,2024",2,1,38,28.5,4.0,0,3.25,1.75,24.385,12,high,周期性,question_confirmed=1; topic_confirmed=4,"2019-SA-01,2023-J-01,2024-S-03,2012-J-02,2012-L-01"
g01,agriculture-ecology,soil_agriculture,农药迁移、残留与风险控制,4,0,4,4,3,"2016,2023,2024,2025","2023,2024,2025",4,1,20,15.0,3.5,0,3.5,2.75,23.9,13,high,近年升温,question_confirmed=2; topic_confirmed=2,"2025-SA-06,2016-SA-02,2023-L-02,2024-SA-01"
e01,governance-planning,governance,环境标准与基准,4,1,4,3,2,"2012,2021,2025","2021,2025",3,1,8,4.8,3.6,1.0,2.6,2.0,23.21,14,high,周期性,question_confirmed=3; answer_confirmed=1,"2025-J-01,2025-CA-01-2,2021-SA-01,2012-N-01"
w07,water-treatment,water,A²/O 与生物脱氮除磷,3,1,3,3,3,"2021,2022,2025","2021,2022,2025",3,2,15,15.0,3.0,1.0,3.0,3.0,23.05,15,high,近年升温,question_confirmed=3,"2025-CA-01-3,2021-SA-05,2022-L-01"
w01,water-quality,water,水质指标（BOD/COD/TOC/TOD/pH）,5,0,5,4,1,"2017,2018,2019,2025",2025,3,0,,0.0,3.8,0,2.8,1.0,21.15,16,high,周期性,question_confirmed=2; answer_confirmed=3,"2025-J-03,2025-S-07,2017-N-01,2018-N-01,2019-N-01"
a02,air-events,air,光化学烟雾,5,0,5,4,0,"2016,2017,2018,2020",,5,0,10,10.0,3.7,0,3.1,0,20.9,17,high,多年未考,question_confirmed=1; topic_confirmed=2; answer_confirmed=2,"2016-N-03,2016-SA-01,2017-N-02,2018-SA-01,2020-SA-02"
a05,air-events,air,臭氧层与全球气候风险,3,0,3,3,3,"2021,2023,2024","2021,2023,2024",2,1,18,18.0,3.0,0,3.0,3.0,20.86,18,high,近年升温,question_confirmed=3,"2021-SA-03,2023-CA-02,2024-S-07"
a01,air-events,air,酸雨,4,0,4,4,1,"2012,2014,2016,2022",2022,3,0,20,17.5,3.25,0,3.25,1.0,20.025,19,high,周期性,question_confirmed=1; topic_confirmed=3,"2014-SA-01,2016-SA-01,2022-SA-06,2012-J-01"
s03,soil-remediation,soil_agriculture,土壤污染修复与安全利用,3,1,3,3,1,"2012,2020,2025",2025,3,1,18,14.8,2.6,1.0,2.6,1.0,18.41,20,high,周期性,question_confirmed=2; answer_confirmed=1,"2025-CA-02-3,2020-SA-04,2012-N-03"
w03,water-treatment,water,生物膜法,3,0,3,3,2,"2019,2024,2025","2024,2025",3,0,,0.0,2.6,0,2.6,2.0,17.05,21,monitor,周期性,question_confirmed=2; answer_confirmed=1,"2025-SA-03,2019-N-02,2024-SA-03"
r01,governance-solid,governance,危险固体废物鉴别,3,0,3,3,2,"2013,2024,2025","2024,2025",2,0,8,4.8,2.6,0,2.6,2.0,16.96,22,monitor,周期性,question_confirmed=2; answer_confirmed=1,"2025-J-04,2013-N-02,2024-SA-04"
a06,air-control,air,噪声污染,4,0,4,4,0,"2012,2014,2016,2020",,3,0,14,9.9,2.7,0,2.7,0,15.88,23,monitor,多年未考,topic_confirmed=2; answer_confirmed=2,"2014-SA-03,2016-N-01,2020-N-01,2012-J-03"
m01,governance-monitoring,governance,环境监测设计与采样,2,1,2,2,2,"2022,2025","2022,2025",2,1,10,10.0,2.0,1.0,2.0,2.0,15.7,24,monitor,偶发,question_confirmed=2,"2025-CA-02-2,2022-SA-04"
f01,foundation-capacity,foundation,环境容量,3,0,3,3,1,"2018,2020,2021",2021,3,0,4,2.4,2.2,0,2.2,1.0,13.93,25,monitor,周期性,question_confirmed=1; answer_confirmed=2,"2018-N-01,2020-N-01,2021-SA-02"
m02,governance-monitoring,governance,监测 QA/QC 与有效数据,2,0,2,2,2,"2021,2025","2021,2025",2,0,,0.0,2.0,0,2.0,2.0,13.5,26,monitor,偶发,question_confirmed=2,"2025-SA-01,2021-SA-07"
w06,water-treatment,water,混凝,2,0,2,2,2,"2022,2024","2022,2024",1,0,10,10.0,2.0,0,2.0,2.0,13.45,27,monitor,偶发,question_confirmed=2,"2022-SA-01,2024-S-05"
a03,air-events,air,大气扩散与气象条件,2,0,2,2,1,"2014,2024",2024,2,0,,0.0,1.75,0,1.75,1.0,11.125,28,monitor,偶发,question_confirmed=1; topic_confirmed=1,"2014-SA-02,2024-SA-05"
e02,governance-planning,governance,环境影响评价,3,0,3,3,0,"2013,2016,2018",,3,0,8,4.8,1.8,0,1.8,0,10.81,29,monitor,多年未考,answer_confirmed=3,"2013-N-04,2016-N-02,2018-N-02"
w05,water-treatment,water,沉淀,2,0,2,1,1,2025,2025,1,0,,0.0,2.0,0,1.0,1.0,10.75,30,monitor,偶发,question_confirmed=2,"2025-S-06,2025-SA-04"
e04,governance-policy,governance,环境保护制度与经济手段,2,0,2,2,0,"2013,2017",,2,0,8,6.0,1.35,0,1.35,0,8.085,31,reference,偶发,topic_confirmed=1; answer_confirmed=1,"2013-SA-02,2017-N-03"
w04,water-treatment,water,厌氧与 UASB 生物处理,2,0,2,2,0,"2012,2014",,2,0,8,6.0,1.35,0,1.35,0,8.085,32,reference,偶发,topic_confirmed=1; answer_confirmed=1,"2014-N-03,2012-SA-03"
f02,foundation-capacity,foundation,环境自净,1,0,1,1,1,2022,2022,1,0,10,10.0,1.0,0,1.0,1.0,6.95,33,reference,偶发,question_confirmed=1,2022-SA-02
f05,foundation-science,foundation,环境科学与环境系统,1,0,1,1,0,2020,,1,1,25,25.0,1.0,0,1.0,0,6.75,34,reference,偶发,question_confirmed=1,2020-L-01
w10,water-nature,water,人工湿地与自然处理,1,0,1,1,1,2021,2021,1,0,,0.0,1.0,0,1.0,1.0,6.75,35,reference,偶发,question_confirmed=1,2021-SA-04
w11,water-separation,water,吸附与离子交换,1,0,1,1,1,2024,2024,0,0,,0.0,1.0,0,1.0,1.0,6.5,36,reference,偶发,question_confirmed=1,2024-S-04
s02,soil-risk,soil_agriculture,土壤背景值,1,0,1,1,0,2020,,1,0,10,10.0,1.0,0,1.0,0,5.95,37,reference,偶发,question_confirmed=1,2020-SA-01
g02,agriculture-ecology,soil_agriculture,农业污染与畜禽粪污消纳,1,0,1,1,0,2016,,1,0,,0.0,0.75,0,0.75,0,4.375,38,reference,偶发,topic_confirmed=1,2016-SA-03
w09,water-separation,water,膜分离与反渗透,1,0,1,1,0,2014,,1,0,,0.0,0.6,0,0.6,0,3.55,39,reference,偶发,answer_confirmed=1,2014-N-04
x01,foundation-process,foundation,跨介质迁移兼容桥接（待细分）,7,0,7,7,4,"2015,2018,2020,2021,2023,2024,2025","2021,2023,2024,2025",4,4,54,45.5,6.25,0,6.25,3.75,42.205,,bridge,长期稳定高频,question_confirmed=4; topic_confirmed=3,"2025-S-04,2015-CA-01,2018-L-01,2020-CA-01,2021-L-01,2023-S-01,2024-S-08"
